reviewId,text,rating,date,replyContent,bank,type,has_reply,review_len,year_month,is_complaint,text_clean,clean_len,sentiment,bank_id,sentiment_id,split
98cac410-ff77-4fec-bdab-4c1c9da0c616,Close account Becouse not know how menaged froud,1,2026-06-01 16:03:25,,Monzo,Challenger,0,48,2026-06,1,close becouse know menaged froud,32,Negative,3,0,train
c8eda27a-498e-4786-be56-efc9b40267d5,Tried to sign up but was declined giving no reason. Nevermind I'll take my business elsewhere.,1,2026-05-29 20:23:39,,Monzo,Challenger,0,94,2026-05,1,tried sign declined giving reason nevermind take business elsewhere,67,Negative,3,0,train
b313700d-6e87-4813-9a0a-df434716c3e5,Irritating!.. When you just want to check your balance then get spammed by marketing adds other banks don't do this,2,2026-05-29 18:46:32,,Monzo,Challenger,0,115,2026-05,1,irritating want check balance spammed marketing add bank,56,Negative,3,0,train
3123c3bb-abe8-4aa2-9ca4-de77b032f13f,"The absolute worst ""bank"" ever. I tried to send money abroad to a friend, they froze my account, closed it and I'm still waiting to get my 21k back. Over a week, because they prefer to give you hassle and put you in financial hardship in order to save themselves, if someone tries to scam you...",1,2026-05-28 07:15:47,,Monzo,Challenger,0,295,2026-05,1,absolute worst ever tried send abroad friend froze closed waiting back prefer give hassle put financial hardship order save someone try scam,140,Negative,3,0,test
47c66061-ebc2-4404-9ec0-f29baa040f27,No longer properly scales on foldable devices,1,2026-05-27 06:01:40,,Monzo,Challenger,0,45,2026-05,1,longer properly scale foldable device,37,Negative,3,0,test
4a695049-eeb5-4ed1-a568-2240d70d9c3c,Monzo didn't help me when I paid £600 to a fraudster.,2,2026-05-26 20:12:39,,Monzo,Challenger,0,53,2026-05,1,help paid fraudster,19,Negative,3,0,test
3eac772c-c6a4-4bb5-aa2b-fd2897c0f98e,This is not good. I can't open a new account or log in to an old one.,1,2026-05-26 18:29:59,,Monzo,Challenger,0,69,2026-05,1,open new log old,16,Negative,3,0,train
021df364-41cb-4eeb-bce5-914ac253593d,Changing the app is a big mistake. You lost me as a customer. Well done.,1,2026-05-25 12:02:49,,Monzo,Challenger,0,72,2026-05,1,changing big mistake lost customer done,39,Negative,3,0,train
6ff8ab04-987f-42f9-84b5-70e221baa87f,This is one of the worst banks ever don't download this app they are not ready to help the people working on the phone lines are unprofessional and they don't know what they are doing if you want to leave in peace open another bank,1,2026-05-21 15:10:33,,Monzo,Challenger,0,231,2026-05,1,worst bank ever download ready help people working line unprofessional know want leave peace open another,105,Negative,3,0,train
f28b2260-dfc1-4b31-af3d-afd53e72e2e0,"Just closed my personal account with Monzo because it blocked payments for 300£. After calling me the adviser in telling me she's there to help, she asked screenshot of my friend conversation on WhatsApp to see the bank details that he provided in order to pass the payment. After that my account was frozen for 48 hours without any explanations. I wrote second day for update and I was ignored in throwing me long usual texts. I had to believe the reviews when I read them..",1,2026-05-18 13:48:37,,Monzo,Challenger,0,475,2026-05,1,closed personal blocked payment calling adviser telling help asked screenshot friend conversation whatsapp see detail provided order pas payment frozen hour without explanation wrote second update ignored throwing long usual text believe review read,249,Negative,3,0,test
bcf7930d-f968-4222-ba5f-fb8b45083d11,I don't want to record my face for a pin that I know. There should be another way to do it even if you accidentally tapped the wrong number.,1,2026-05-18 08:27:56,,Monzo,Challenger,0,140,2026-05,1,want record face pin know another way accidentally tapped wrong number,70,Negative,3,0,train
d95ebab2-e01a-4104-85b9-6fc9ba70991b,DREADFUL... DON'T RISK IT.... after 5 days in S.Korea the card started getting refused in shops. I had £1000 in the account. online help was quick but left me with less confidence that I'd actually get my money. Monzo have forgotten whose money it is. I had to transfer all my money to a different bank account to finish my Holiday. NEVER AGAIN.,1,2026-05-17 22:27:56,,Monzo,Challenger,0,345,2026-05,1,dreadful risk day korea started getting refused shop online help quick left le confidence actually forgotten whose transfer different finish holiday never,154,Negative,3,0,train
